Class Date,Topics,Attendance
"Monday, August 26, 2024",Course Introduction and Syllabus,N/A
"Wednesday, August 28, 2024",Introduction to Operations Management and Strategy,Submit Your Notes
"Monday, September 2, 2024",Labor Day - No Class,N/A
"Wednesday, September 4, 2024",Productivity ,Submit Your Notes
"Monday, September 9, 2024",Forecasting,Submit Your Notes
"Wednesday, September 11, 2024",Forecasting,Submit Your Notes
"Monday, September 16, 2024",Forecasting Lab,N/A
"Wednesday, September 18, 2024",Capacity Management,Submit Your Notes
"Monday, September 23, 2024",Project Management,Submit Your Notes
"Wednesday, September 25, 2024",Project Management,Submit Your Notes
"Monday, September 30, 2024",Probability Overview and Exam 1 Review,N/A
"Wednesday, October 2, 2024",Exam 1,N/A
"Monday, October 7, 2024",Process Analysis - Manufacturing,Submit Your Notes
"Wednesday, October 9, 2024",Process Analysis - Service,Submit Your Notes
"Monday, October 14, 2024",No Class(Happy Columbus Day),N/A
"Wednesday, October 16, 2024",Assembly Line Balancing,Submit Your Notes
"Monday, October 21, 2024",Assembly Line Balancing,Submit Your Notes
"Wednesday, October 23, 2024",Sales and Operations Planning,Submit Your Notes
"Monday, October 28, 2024",Material and Requirements Planning,Submit Your Notes
"Wednesday, October 30, 2024",Exam 2 Review and Project Introduction,N/A
"Monday, November 4, 2024",Exam 2,N/A
"Wednesday, November 6, 2024",Quality Management,Submit Your Notes
"Monday, November 11, 2024",Assembly Line Balancing,Submit Your Notes
"Wednesday, November 13, 2024",Inventory Management I ,Submit Your Notes
"Monday, November 18, 2024",Inventory Management II,Submit Your Notes
"Wednesday, November 20, 2024",Inventory Management II,Submit Your Notes
"Monday, November 25, 2024",Happy Thanksgiving(No Class),N/A
"Wednesday, November 27, 2024",Happy Thanksgiving(No Class),N/A
"Monday, December 2, 2024",Project Day,N/A
"Wednesday, December 4, 2024",Project Presentations,N/A
"Monday, December 9, 2024",Exam 3 Review,N/A
"Wednesday, December 11, 2024",Reading Day,N/A
TBD,Exam 3,N/A